,Both Sets,ack_present,ack_absent,Percent Present
Journal of cancer epidemiology & treatment,2,2.0,0.0,1.0
Journal of AIDS and HIV research (Online),2,2.0,0.0,1.0
Philosophy compass,2,1.0,1.0,0.5
Western journal of nursing research,2,2.0,0.0,1.0
Applied mathematical finance,2,2.0,0.0,1.0
Journal of engineering mathematics,2,2.0,0.0,1.0
Journal of electron spectroscopy and related phenomena,2,2.0,0.0,1.0
"Emotion, space and society",2,2.0,0.0,1.0
In practice,2,1.0,1.0,0.5
"JOM (Warrendale, Pa. : 1989)",2,2.0,0.0,1.0
Language & communication,2,2.0,0.0,1.0
"International journal of reproduction, contraception, obstetrics and gynecology",2,2.0,0.0,1.0
Organizational research methods,2,2.0,0.0,1.0
The Linacre quarterly,2,2.0,0.0,1.0
"Chemical engineering journal (Lausanne, Switzerland : 1996)",2,2.0,0.0,1.0
Public health action,2,2.0,0.0,1.0
International journal of developmental science,2,0.0,2.0,0.0
"Journal of African earth sciences (Oxford, England : 1994)",2,2.0,0.0,1.0
Obstetric medicine,2,2.0,0.0,1.0
Measurement : journal of the International Measurement Confederation,2,2.0,0.0,1.0
Clinical and laboratory haematology,2,1.0,1.0,0.5
IJC metabolic & endocrine,2,2.0,0.0,1.0
Journal of electromyography and kinesiology : official journal of the International Society of Electrophysiological Kinesiology,2,2.0,0.0,1.0
Journal of vertebrate paleontology,2,2.0,0.0,1.0
Regional science and urban economics,2,2.0,0.0,1.0
International journal of integrative medicine,2,2.0,0.0,1.0
Forests,2,2.0,0.0,1.0
Atmospheric research,2,2.0,0.0,1.0
Cancer studies and molecular medicine : open journal,2,2.0,0.0,1.0
Clinical nurse specialist CNS,2,2.0,0.0,1.0
Journal of digestive diseases,2,2.0,0.0,1.0
The Journal of continuing education in the health professions,2,2.0,0.0,1.0
Chemical engineering science,2,1.0,1.0,0.5
Current pharmaceutical analysis,2,2.0,0.0,1.0
Journal of aging and physical activity,2,2.0,0.0,1.0
"Evidence & policy : a journal of research, debate and practice",2,2.0,0.0,1.0
Annals of nutrition & metabolism,2,2.0,0.0,1.0
"Endocrine disruptors (Austin, Tex.)",2,2.0,0.0,1.0
Therapeutic targets for neurological diseases,2,2.0,0.0,1.0
Wood science and technology,2,2.0,0.0,1.0
Journal of bioequivalence & bioavailability,2,2.0,0.0,1.0
Journal of basic microbiology,2,1.0,1.0,0.5
Inorganic chemistry communications,2,2.0,0.0,1.0
Theoretical and applied climatology,2,2.0,0.0,1.0
Journal of the American College of Radiology : JACR,2,1.0,1.0,0.5
Clinical cancer research : an official journal of the American Association for Cancer Research,2,2.0,0.0,1.0
Aerosol science and technology : the journal of the American Association for Aerosol Research,2,0.0,2.0,0.0
World journal of AIDS,2,2.0,0.0,1.0
Joule,2,2.0,0.0,1.0
The Sociological quarterly,2,0.0,2.0,0.0
"Global social welfare : research, policy & practice",2,2.0,0.0,1.0
Journal of thermal analysis and calorimetry,2,2.0,0.0,1.0
The Journal of the Association of Nurses in AIDS Care : JANAC,2,2.0,0.0,1.0
Social science research,2,2.0,0.0,1.0
"Computation (Basel, Switzerland)",2,2.0,0.0,1.0
International journal of tropical disease & health,2,1.0,1.0,0.5
"Food additives & contaminants. Part B, Surveillance",2,1.0,1.0,0.5
Nonlinear dynamics,2,2.0,0.0,1.0
Frontiers in Marine Science,2,2.0,0.0,1.0
British journal of pain,2,1.0,1.0,0.5
Open journal of biophysics,2,2.0,0.0,1.0
Journal for healthcare quality : official publication of the National Association for Healthcare Quality,2,1.0,1.0,0.5
Molecular simulation,2,2.0,0.0,1.0
Frontiers in life science,2,2.0,0.0,1.0
Journal of family medicine and disease prevention,2,2.0,0.0,1.0
European urology focus,2,0.0,2.0,0.0
Current bioinformatics,2,2.0,0.0,1.0
Metalloproteinases in medicine,2,2.0,0.0,1.0
Renaissance studies : journal of the Society for Renaissance Studies,2,0.0,2.0,0.0
"Oral surgery, oral medicine, oral pathology and oral radiology",2,1.0,1.0,0.5
"Growth factors (Chur, Switzerland)",2,2.0,0.0,1.0
Annales geophysicae,2,2.0,0.0,1.0
Race and social problems,2,2.0,0.0,1.0
Cell health and cytoskeleton,2,2.0,0.0,1.0
Annals of science,2,2.0,0.0,1.0
Cognitive and behavioral neurology : official journal of the Society for Behavioral and Cognitive Neurology,2,1.0,1.0,0.5
Management communication quarterly,2,2.0,0.0,1.0
Journal of nutritional medicine and diet care,2,2.0,0.0,1.0
Social work in mental health,2,0.0,2.0,0.0
"IEEE transactions on ultrasonics, ferroelectrics, and frequency control",2,2.0,0.0,1.0
Journal of research on adolescence : the official journal of the Society for Research on Adolescence,2,0.0,2.0,0.0
Stochastic environmental research and risk assessment : research journal,2,2.0,0.0,1.0
Journal of psychosocial oncology,2,2.0,0.0,1.0
Technologies,2,2.0,0.0,1.0
Paleobiology,2,2.0,0.0,1.0
Biotechnic & histochemistry : official publication of the Biological Stain Commission,2,2.0,0.0,1.0
"Journal of lasers, optics & photonics",2,2.0,0.0,1.0
Past & present,2,0.0,2.0,0.0
GeoHealth,2,2.0,0.0,1.0
Journal of environmental economics and management,2,0.0,2.0,0.0
War & society,2,1.0,1.0,0.5
Journal of social service research,2,1.0,1.0,0.5
Policy studies journal: the journal of the Policy Studies Organization,2,0.0,2.0,0.0
Transcriptomics: open access,2,2.0,0.0,1.0
Topics in geriatric rehabilitation,2,0.0,2.0,0.0
Journal of European public policy,2,2.0,0.0,1.0
Journal of international migration and integration,2,2.0,0.0,1.0
European journal of plant pathology,2,2.0,0.0,1.0
Ultrasonics,2,2.0,0.0,1.0
Machine learning,2,2.0,0.0,1.0
Experiments in fluids,2,2.0,0.0,1.0
"Spectrochimica acta. Part B, Atomic spectroscopy",2,2.0,0.0,1.0
Journal of cardiopulmonary rehabilitation and prevention,2,2.0,0.0,1.0
Language learning and development : the official journal of the Society for Language Development,2,2.0,0.0,1.0
Biology methods & protocols,2,1.0,1.0,0.5
"Chemical record (New York, N.Y.)",2,2.0,0.0,1.0
Computer aided design,2,2.0,0.0,1.0
"Decision (Washington, D.C.)",2,0.0,2.0,0.0
Journal of fluency disorders,2,2.0,0.0,1.0
Journal of molecular structure,2,2.0,0.0,1.0
"Molecular biology (Los Angeles, Calif.)",2,2.0,0.0,1.0
"Water quality, exposure, and health",2,2.0,0.0,1.0
Journal de mathematiques pures et appliquees,2,0.0,2.0,0.0
"Sexual development : genetics, molecular biology, evolution, endocrinology, embryology, and pathology of sex determination and differentiation",2,2.0,0.0,1.0
Journal of applied sport psychology,2,0.0,2.0,0.0
"Energy technology (Weinheim, Germany)",2,2.0,0.0,1.0
Asian population studies,2,1.0,1.0,0.5
Biology and medicine (Aligarh),2,2.0,0.0,1.0
Archaeological prospection,2,2.0,0.0,1.0
The Journal of creative behavior,2,2.0,0.0,1.0
International journal of earth sciences : Geologische Rundschau,2,2.0,0.0,1.0
Human studies,2,2.0,0.0,1.0
Journal of infection and public health,2,2.0,0.0,1.0
Bioengineered bugs,2,2.0,0.0,1.0
Journal of statistical computation and simulation,2,1.0,1.0,0.5
JBMR plus,2,2.0,0.0,1.0
Gerodontology,2,2.0,0.0,1.0
Journal of cancer research updates,2,2.0,0.0,1.0
Journal of optimization theory and applications,2,2.0,0.0,1.0
Indonesia and the Malay world,2,2.0,0.0,1.0
The British journal of educational psychology,2,1.0,1.0,0.5
Single cell biology,2,2.0,0.0,1.0
Der Unfallchirurg,2,2.0,0.0,1.0
Biological rhythm research,2,1.0,1.0,0.5
Agricultural and forest entomology,2,2.0,0.0,1.0
"Mathematical methods of operations research (Heidelberg, Germany)",2,2.0,0.0,1.0
Insect science,2,2.0,0.0,1.0
Applied psychological measurement,2,1.0,1.0,0.5
Redox report : communications in free radical research,2,2.0,0.0,1.0
Recent patents on CNS drug discovery,2,2.0,0.0,1.0
Information visualization,2,2.0,0.0,1.0
Applied geochemistry : journal of the International Association of Geochemistry and Cosmochemistry,2,2.0,0.0,1.0
Materials for renewable and sustainable energy,2,2.0,0.0,1.0
"Concepts in magnetic resonance. Part A, Bridging education and research",2,2.0,0.0,1.0
Journal of agromedicine,2,1.0,1.0,0.5
Journal of European social policy,2,2.0,0.0,1.0
International journal of older people nursing,2,0.0,2.0,0.0
Strength and conditioning journal,2,2.0,0.0,1.0
New horizons in translational medicine,2,2.0,0.0,1.0
Exosomes and microvesicles,2,2.0,0.0,1.0
Applied ergonomics,2,2.0,0.0,1.0
Immunopharmacology and immunotoxicology,2,2.0,0.0,1.0
Food and chemical toxicology : an international journal published for the British Industrial Biological Research Association,2,2.0,0.0,1.0
Diseases of the esophagus : official journal of the International Society for Diseases of the Esophagus,2,2.0,0.0,1.0
Journal of signal processing systems,2,2.0,0.0,1.0
Journal of business and technical communication,2,0.0,2.0,0.0
Cognitive and behavioral practice,2,2.0,0.0,1.0
Journal der Deutschen Dermatologischen Gesellschaft = Journal of the German Society of Dermatology : JDDG,2,0.0,2.0,0.0
Expert opinion on drug discovery,2,2.0,0.0,1.0
"Discrete applied mathematics (Amsterdam, Netherlands : 1988)",2,1.0,1.0,0.5
Annals of forest science,2,2.0,0.0,1.0
Journal of physics. Condensed matter : an Institute of Physics journal,2,2.0,0.0,1.0
International journal of organic chemistry,2,2.0,0.0,1.0
Plant systematics and evolution = Entwicklungsgeschichte und Systematik der Pflanzen,2,2.0,0.0,1.0
Journal of South American earth sciences,2,2.0,0.0,1.0
Astrophysics and space science,2,2.0,0.0,1.0
Home healthcare now,2,0.0,2.0,0.0
Cardiovascular pathology : the official journal of the Society for Cardiovascular Pathology,2,2.0,0.0,1.0
European sociological review,2,2.0,0.0,1.0
The South African journal of psychiatry : SAJP : the journal of the Society of Psychiatrists of South Africa,2,2.0,0.0,1.0
Equine veterinary education,2,0.0,2.0,0.0
The Clinical neuropsychologist,2,1.0,1.0,0.5
Annals of tropical paediatrics,2,2.0,0.0,1.0
Journal of interpersonal violence,2,1.0,1.0,0.5
Journal of hospice and palliative nursing : JHPN : the official journal of the Hospice and Palliative Nurses Association,2,1.0,1.0,0.5
Journal of pancreatic cancer,2,1.0,1.0,0.5
International journal of thermophysics,2,2.0,0.0,1.0
Somatosensory & motor research,2,2.0,0.0,1.0
International journal of anesthetics and anesthesiology,2,2.0,0.0,1.0
Nursing & health sciences,2,1.0,1.0,0.5
International journal of digital earth,2,1.0,1.0,0.5
Journal of social work practice in the addictions,2,1.0,1.0,0.5
"Organization (London, England)",2,2.0,0.0,1.0
Development Southern Africa,2,1.0,1.0,0.5
Journal of global history,2,0.0,2.0,0.0
Trends in food science & technology,2,2.0,0.0,1.0
Annals of physics,2,2.0,0.0,1.0
School Psychology International,2,1.0,1.0,0.5
Drug discovery today. Technologies,2,2.0,0.0,1.0
Journal of radiotherapy in practice,2,2.0,0.0,1.0
Marine and petroleum geology,2,2.0,0.0,1.0
Genetic resources and crop evolution,2,2.0,0.0,1.0
Advances in biological chemistry,2,2.0,0.0,1.0
In silico cell and tissue science,2,2.0,0.0,1.0
Health promotion practice,2,1.0,1.0,0.5
ChemistrySelect,2,2.0,0.0,1.0
"The European physical journal. E, Soft matter",2,2.0,0.0,1.0
Journal of materials engineering and performance,2,2.0,0.0,1.0
Annals of the American Association of Geographers,2,2.0,0.0,1.0
Macromolecular materials and engineering,2,2.0,0.0,1.0
International journal of quantum chemistry,2,2.0,0.0,1.0
Social choice and welfare,2,2.0,0.0,1.0
Expert opinion on medical diagnostics,2,2.0,0.0,1.0
Animal cells and systems,2,1.0,1.0,0.5
International journal of cancer and oncology,2,2.0,0.0,1.0
Journal of regenerative medicine & tissue engineering,2,2.0,0.0,1.0
Journal of experimental nanoscience,2,2.0,0.0,1.0
"Psychology, public policy, and law : an official law review of the University of Arizona College of Law and the University of Miami School of Law",2,0.0,2.0,0.0
Optics letters,2,2.0,0.0,1.0
Laboratory phonology,2,2.0,0.0,1.0
International journal of heat and mass transfer,2,1.0,1.0,0.5
Journal of comparative effectiveness research,2,1.0,1.0,0.5
Japan journal of nursing science : JJNS,2,2.0,0.0,1.0
20 century British history,2,2.0,0.0,1.0
Minds and machines,2,2.0,0.0,1.0
Journal of functional analysis,2,2.0,0.0,1.0
"Clinical anatomy (New York, N.Y.)",2,1.0,1.0,0.5
Journal of diabetes mellitus,2,1.0,1.0,0.5
European journal of oncology nursing : the official journal of European Oncology Nursing Society,2,1.0,1.0,0.5
Technological forecasting and social change,2,2.0,0.0,1.0
Space science reviews,2,2.0,0.0,1.0
The breast journal,2,1.0,1.0,0.5
Rehabilitation oncology (American Physical Therapy Association. Oncology Section),2,1.0,1.0,0.5
Journal Of Economic Psychology,2,2.0,0.0,1.0
"Advances in eating disorders (Abingdon, England )",2,0.0,2.0,0.0
Boundary-layer meteorology,2,2.0,0.0,1.0
Open Journal of Anesthesiology,2,1.0,1.0,0.5
Animal behavior and cognition,2,2.0,0.0,1.0
Reviews in medical microbiology : a journal of the Pathological Society of Great Britain and Ireland,2,0.0,2.0,0.0
Nephron. Clinical practice,2,2.0,0.0,1.0
Australian journal of psychology,2,2.0,0.0,1.0
Tectonics,2,2.0,0.0,1.0
The Review of economic studies,2,2.0,0.0,1.0
International journal of environmental analytical chemistry,2,2.0,0.0,1.0
American journal of analytical chemistry,2,2.0,0.0,1.0
ECS journal of solid state science and technology : JSS,2,2.0,0.0,1.0
Neuroepigenetics,2,2.0,0.0,1.0
Mathematics and mechanics of solids : MMS,2,1.0,1.0,0.5
International journal of computer vision,2,2.0,0.0,1.0
The Journal of value inquiry,2,2.0,0.0,1.0
Wiley interdisciplinary reviews. Membrane transport and signaling,2,2.0,0.0,1.0
"ChemNanoMat : chemistry of nanomaterials for energy, biology and more",2,2.0,0.0,1.0
Expert review of endocrinology & metabolism,2,1.0,1.0,0.5
The open biotechnology journal,2,2.0,0.0,1.0
Biocatalysis and biotransformation,2,2.0,0.0,1.0
"Ecohydrology : ecosystems, land and water process interactions, ecohydrogeomorphology",2,2.0,0.0,1.0
Sexual and relationship therapy : journal of the British Association for Sexual and Relationship Therapy,2,2.0,0.0,1.0
"Journal of receptor, ligand and channel research",2,2.0,0.0,1.0
Computational statistics,2,2.0,0.0,1.0
Applied spectroscopy reviews,2,0.0,2.0,0.0
Journal of neonatal-perinatal medicine,2,2.0,0.0,1.0
"Health economics, policy, and law",2,1.0,1.0,0.5
Journal of chemistry,2,2.0,0.0,1.0
The journal of sexual aggression,2,1.0,1.0,0.5
Medizinische Genetik : Mitteilungsblatt des Berufsverbandes Medizinische Genetik e.V,2,1.0,1.0,0.5
"International journal of health services : planning, administration, evaluation",2,1.0,1.0,0.5
Computer vision and image understanding : CVIU,2,2.0,0.0,1.0
International journal of clinical practice. Supplement,2,2.0,0.0,1.0
Optics communications,2,2.0,0.0,1.0
"Parenting, science and practice",2,0.0,2.0,0.0
Zoo biology,2,1.0,1.0,0.5
"Materials today (Kidlington, England)",2,1.0,1.0,0.5
Journal of multivariate analysis,2,2.0,0.0,1.0
Journal of allergy & therapy,2,2.0,0.0,1.0
Journal of vocational behavior,2,2.0,0.0,1.0
Aquatic ecology,2,2.0,0.0,1.0
Journal of college student psychotherapy,2,0.0,2.0,0.0
International statistical review = Revue internationale de statistique,2,1.0,1.0,0.5
WormBook : the online review of C. elegans biology,2,1.0,1.0,0.5
Journal of oncopathology and clinical research,2,2.0,0.0,1.0
Biological control : theory and applications in pest management,2,2.0,0.0,1.0
Psyche; a journal of entomology,2,2.0,0.0,1.0
Journal of petroleum & environmental biotechnology,2,2.0,0.0,1.0
"Spectrochimica acta. Part A, Molecular and biomolecular spectroscopy",2,2.0,0.0,1.0
Visual culture in Britain,2,2.0,0.0,1.0
Primary health care : open access,2,2.0,0.0,1.0
"Itch (Philadelphia, Pa.)",2,2.0,0.0,1.0
"Nonlinear analysis, theory, methods & applications",2,2.0,0.0,1.0
Scandinavian journal of occupational therapy,2,1.0,1.0,0.5
"Dermatitis : contact, atopic, occupational, drug",2,0.0,2.0,0.0
Journal of medieval Iberian studies,2,2.0,0.0,1.0
Journal of pain & relief,2,2.0,0.0,1.0
Animal reproduction science,2,2.0,0.0,1.0
Comprehensive psychiatry,2,1.0,1.0,0.5
NDT & E international : independent nondestructive testing and evaluation,2,2.0,0.0,1.0
"Immunotherapy (Los Angeles, Calif.)",2,2.0,0.0,1.0
The American journal of sports medicine,2,1.0,1.0,0.5
Artificial intelligence,2,1.0,1.0,0.5
Contemporary nurse,2,2.0,0.0,1.0
Pharmaceutical regulatory affairs : open access,2,2.0,0.0,1.0
"BioControl (Dordrecht, Netherlands)",2,2.0,0.0,1.0
Therapeutic advances in urology,2,1.0,1.0,0.5
Journal of the European Ceramic Society,2,2.0,0.0,1.0
Lupus (Los Angeles),2,2.0,0.0,1.0
Procedia computer science,2,0.0,2.0,0.0
European journal of integrative medicine,2,2.0,0.0,1.0
International journal of nanomedicine and nanosurgery,2,2.0,0.0,1.0
Mathematics-in-industry case studies,2,2.0,0.0,1.0
Journal of interdisciplinary histopathology,2,2.0,0.0,1.0
Neuroepidemiology,2,2.0,0.0,1.0
Creative education,2,2.0,0.0,1.0
Clinical biochemistry,2,2.0,0.0,1.0
"Radiation physics and chemistry (Oxford, England : 1993)",2,1.0,1.0,0.5
Global and planetary change,2,2.0,0.0,1.0
International journal of workplace health management,2,2.0,0.0,1.0
The Journal of applied behavioral science,2,1.0,1.0,0.5
Pattern analysis and applications : PAA,2,2.0,0.0,1.0
Pharmaceutical biology,2,1.0,1.0,0.5
Respiration; international review of thoracic diseases,2,2.0,0.0,1.0
Veterinary ophthalmology,2,2.0,0.0,1.0
"Review of European, comparative & international environmental law",2,0.0,2.0,0.0
Journal of cognition and development : official journal of the Cognitive Development Society,2,2.0,0.0,1.0
Peritoneal dialysis international : journal of the International Society for Peritoneal Dialysis,2,1.0,1.0,0.5
Journal of analytical and applied pyrolysis,2,2.0,0.0,1.0
JACC. Cardiovascular interventions,2,0.0,2.0,0.0
International journal of dermatology,2,2.0,0.0,1.0
Vessel plus,2,2.0,0.0,1.0
American journal of lifestyle medicine,2,1.0,1.0,0.5
"Ethology, ecology & evolution",2,1.0,1.0,0.5
Journal of American college health : J of ACH,2,0.0,2.0,0.0
Journal of pharmacy practice,2,1.0,1.0,0.5
Environmental justice (Print),2,0.0,2.0,0.0
Progress in brain research,2,2.0,0.0,1.0
"Psychology, crime & law : PC & L",2,2.0,0.0,1.0
The open pediatric medicine journal,2,2.0,0.0,1.0
"Journal of agricultural, biological, and environmental statistics",2,2.0,0.0,1.0
Psychology of women quarterly,2,1.0,1.0,0.5
The neuroradiology journal,2,1.0,1.0,0.5
International journal of nursing & clinical practices,2,2.0,0.0,1.0
Personality and mental health,2,1.0,1.0,0.5
Advanced health care technologies,2,2.0,0.0,1.0
International journal of criminology and sociology,2,2.0,0.0,1.0
Journal of research in nursing : JRN,2,1.0,1.0,0.5
Lingua. International review of general linguistics. Revue internationale de linguistique generale,2,0.0,2.0,0.0
Counselling and psychotherapy research,2,1.0,1.0,0.5
Exposure & health,2,2.0,0.0,1.0
"Proceedings of the National Academy of Sciences, India. Section B",2,2.0,0.0,1.0
Journal of cytokine biology,2,2.0,0.0,1.0
Transactions in GIS : TG,2,1.0,1.0,0.5
Nephron,2,2.0,0.0,1.0
International journal of chronic diseases & therapy,2,2.0,0.0,1.0
BAOJ pharmaceutical sciences,2,2.0,0.0,1.0
Molecular syndromology,2,2.0,0.0,1.0
"Energy (Oxford, England)",2,2.0,0.0,1.0
Primary care diabetes,2,1.0,1.0,0.5
Journal of food engineering,2,2.0,0.0,1.0
Social sciences information. Information sur les sciences sociales,2,2.0,0.0,1.0
The Journal of industrial economics,2,0.0,2.0,0.0
NPJ science of learning,2,2.0,0.0,1.0
Alpine botany,2,2.0,0.0,1.0
"Journal of vacuum science and technology. B, Nanotechnology & microelectronics : materials, processing, measurement, & phenomena : JVST B",2,2.0,0.0,1.0
Molecular and cellular probes,2,1.0,1.0,0.5
BEOnline : journal of the West African bioethics training program,2,2.0,0.0,1.0
Journal of the American Academy of Nurse Practitioners,2,1.0,1.0,0.5
Futures,2,1.0,1.0,0.5
Criminal law and philosophy,2,2.0,0.0,1.0
Journal of graph theory,2,1.0,1.0,0.5
Food & function,2,2.0,0.0,1.0
Journal of clinical & experimental dermatology research,2,2.0,0.0,1.0
Expert opinion on drug metabolism & toxicology,2,0.0,2.0,0.0
Multiple sclerosis and related disorders,2,2.0,0.0,1.0
Advances in aging research,2,2.0,0.0,1.0
Clinical therapeutics,2,2.0,0.0,1.0
Current climate change reports,2,2.0,0.0,1.0
Journal of geriatric psychiatry and neurology,2,1.0,1.0,0.5
Primary prevention insights,2,2.0,0.0,1.0
Alternative & complementary therapies : a new bimonthly publication for health care practitioners,2,0.0,2.0,0.0
Anatomy & physiology : current research,2,2.0,0.0,1.0
Science & justice : journal of the Forensic Science Society,2,2.0,0.0,1.0
"Speech, language and hearing (London, England)",2,2.0,0.0,1.0
Journal of nutritional & environmental medicine,2,2.0,0.0,1.0
Computational cognitive science,2,2.0,0.0,1.0
Engineering fracture mechanics,2,2.0,0.0,1.0
Procedia manufacturing,2,2.0,0.0,1.0
Bioorganic chemistry,2,2.0,0.0,1.0
"Transportation research. Part C, Emerging technologies",2,2.0,0.0,1.0
Current computer-aided drug design,2,2.0,0.0,1.0
"Network (Bristol, England)",2,2.0,0.0,1.0
Advanced modeling and simulation in engineering sciences,2,2.0,0.0,1.0
Complementary therapies in clinical practice,2,2.0,0.0,1.0
Economics letters,2,1.0,1.0,0.5
The Journal of the American Academy of Orthopaedic Surgeons,2,0.0,2.0,0.0
Planetary science,2,2.0,0.0,1.0
Cell motility and the cytoskeleton,2,1.0,1.0,0.5
Journal of chemical neuroanatomy,2,2.0,0.0,1.0
Australian occupational therapy journal,2,2.0,0.0,1.0
Hand therapy,2,1.0,1.0,0.5
International journal on software tools for technology transfer : STTT,2,2.0,0.0,1.0
Journal of geodynamics,2,2.0,0.0,1.0
Applied soft computing,2,1.0,1.0,0.5
MNI open research,2,2.0,0.0,1.0
Public opinion quarterly,2,0.0,2.0,0.0
European journal of political research,2,2.0,0.0,1.0
Journal of bioprocessing & biotechniques,2,2.0,0.0,1.0
Clinical microbiology reviews,2,2.0,0.0,1.0
Journal of aerosol science,2,2.0,0.0,1.0
Coral reefs (Online),2,2.0,0.0,1.0
Contemporary social science,2,2.0,0.0,1.0
Cardiovascular & hematological disorders drug targets,2,2.0,0.0,1.0
Probability theory and related fields,2,2.0,0.0,1.0
Journal of phase equilibria and diffusion,2,2.0,0.0,1.0
Theory of computing systems,2,2.0,0.0,1.0
Inside the cell,2,2.0,0.0,1.0
Phytochemical analysis : PCA,2,2.0,0.0,1.0
The International journal of aviation psychology,2,1.0,1.0,0.5
Animal health research reviews,2,2.0,0.0,1.0
Macromolecular chemistry and physics,2,2.0,0.0,1.0
Journal of molecular graphics & modelling,2,2.0,0.0,1.0
Disaster medicine and public health preparedness,2,2.0,0.0,1.0
Food science and biotechnology,2,2.0,0.0,1.0
Open journal of clinical & medical case reports,2,1.0,1.0,0.5
Circulation. Genomic and precision medicine,2,0.0,2.0,0.0
X-ray spectrometry : XRS,2,2.0,0.0,1.0
"Pathology, research and practice",2,2.0,0.0,1.0
Progress in lipid research,2,2.0,0.0,1.0
Journal of business research,2,0.0,2.0,0.0
Journal of reproductive and infant psychology,2,0.0,2.0,0.0
Therapeutic advances in endocrinology and metabolism,2,2.0,0.0,1.0
Vascular and endovascular surgery,2,1.0,1.0,0.5
Strabismus,2,1.0,1.0,0.5
Legal studies (Society of Legal Scholars),2,0.0,2.0,0.0
Biogeochemistry,2,2.0,0.0,1.0
Neuropsychiatric electrophysiology,2,2.0,0.0,1.0
Nuclear physics. B,2,2.0,0.0,1.0
Games and economic behavior,2,0.0,2.0,0.0
"Journal of integrated care (Brighton, England)",2,2.0,0.0,1.0
"Journal of logic, language, and information",2,2.0,0.0,1.0
Carbonates and evaporites,2,2.0,0.0,1.0
Progress in nuclear magnetic resonance spectroscopy,2,2.0,0.0,1.0
Journal of medical economics,2,2.0,0.0,1.0
Journal of sound and vibration,2,2.0,0.0,1.0
Frontiers in materials,2,2.0,0.0,1.0
Journal of marine biology,2,2.0,0.0,1.0
Dual diagnosis (Foster City),2,1.0,1.0,0.5
Current medical research and opinion,2,2.0,0.0,1.0
Journal of healthcare informatics research,2,1.0,1.0,0.5
Brain cell biology,2,2.0,0.0,1.0
Clinics in liver disease,2,0.0,2.0,0.0
"Methods in molecular biology (Clifton, N.J.)",2,1.0,1.0,0.5
Livestock science,2,2.0,0.0,1.0
Polar biology,2,2.0,0.0,1.0
Journal of nanotechnology and materials science,2,2.0,0.0,1.0
Der Chirurg; Zeitschrift fur alle Gebiete der operativen Medizen,2,1.0,1.0,0.5
Operations research for health care,2,2.0,0.0,1.0
Journal for specialists in pediatric nursing : JSPN,2,2.0,0.0,1.0
Environmental toxicology and pharmacology,2,2.0,0.0,1.0
Tourism management,2,2.0,0.0,1.0
Cross-cultural research : official journal of the Society for Cross-Cultural Research,2,1.0,1.0,0.5
"Deep-sea research. Part II, Topical studies in oceanography",2,2.0,0.0,1.0
Cogent geoscience,2,0.0,2.0,0.0
Skin research and technology : official journal of International Society for Bioengineering and the Skin (ISBS) [and] International Society for Digital Imaging of Skin (ISDIS) [and] International Society for Skin Imaging (ISSI),2,2.0,0.0,1.0
Nature reviews. Cardiology,2,1.0,1.0,0.5
Chemico-biological interactions,2,2.0,0.0,1.0
Journal of molecular pharmaceutics & organic process research,2,2.0,0.0,1.0
Nursing in critical care,2,2.0,0.0,1.0
Archives of clinical neuropsychology : the official journal of the National Academy of Neuropsychologists,2,0.0,2.0,0.0
Journal of maps,2,2.0,0.0,1.0
Information services & use,2,2.0,0.0,1.0
Journal of substance abuse treatment,2,2.0,0.0,1.0
Journal of environmental & analytical toxicology,2,2.0,0.0,1.0
Political communication,2,2.0,0.0,1.0
Advances in microbiology,2,2.0,0.0,1.0
Methods and applications in fluorescence,2,2.0,0.0,1.0
Journal of blood & lymph,2,2.0,0.0,1.0
Quantum information processing,2,2.0,0.0,1.0
Congenital heart disease,2,2.0,0.0,1.0
The Polar record,2,2.0,0.0,1.0
Philosophy and phenomenological research,2,1.0,1.0,0.5
International journal of prognostics and health management,2,2.0,0.0,1.0
Information systems,2,1.0,1.0,0.5
Evidence based library and information practice,2,2.0,0.0,1.0
Biogeosciences (Online),2,2.0,0.0,1.0
International journal of philosophical studies,2,1.0,1.0,0.5
Technology and disability,2,2.0,0.0,1.0
IEEE transactions on medical imaging,2,1.0,1.0,0.5
Tribology letters,2,2.0,0.0,1.0
Audiology & neuro-otology,2,2.0,0.0,1.0
Journal of sensor technology,2,2.0,0.0,1.0
Journal of algebra,2,2.0,0.0,1.0
International journal of mycobacteriology,2,1.0,1.0,0.5
Nursing education perspectives,2,0.0,2.0,0.0
Metroeconomica,2,1.0,1.0,0.5
Optical and quantum electronics,2,2.0,0.0,1.0
Advanced engineering materials,2,0.0,2.0,0.0
Trials in vaccinology,2,1.0,1.0,0.5
AIMS microbiology,2,2.0,0.0,1.0
Pediatric physical therapy : the official publication of the Section on Pediatrics of the American Physical Therapy Association,2,2.0,0.0,1.0
Advances in molecular imaging,2,2.0,0.0,1.0
Computer communications,2,1.0,1.0,0.5
Expert review of ophthalmology,2,2.0,0.0,1.0
World journal of obstetrics and gynecology,2,2.0,0.0,1.0
OMICS journal of radiology,2,2.0,0.0,1.0
"Bioelectrochemistry (Amsterdam, Netherlands)",2,2.0,0.0,1.0
Communications biology,2,2.0,0.0,1.0
Health education & behavior : the official publication of the Society for Public Health Education,2,0.0,2.0,0.0
Journal of Victorian culture : JVC,2,1.0,1.0,0.5
Journal of kidney,2,2.0,0.0,1.0
Seminars in pediatric neurology,2,0.0,2.0,0.0
Journal of constructivist psychology,2,1.0,1.0,0.5
