,filename,Is Female (Weighted),Names,Nouns,Organizations,Text,Verbs
16461,CNS_Drugs/PMC3933749.nxml,0.0,Howard Hait,consultation;services;analyses,,"Howard Hait, MS, provided consultation services for statistical analyses.",provide
16465,CNS_Drugs/PMC4221603.nxml,0.0,Ben Adeyi,analysis,,Ben Adeyi was responsible for the statistical analysis.,
16467,CNS_Drugs/PMC4221603.nxml,0.0,Richard Civil,employee,Shire,Richard Civil is a former employee of Shire.,
16468,CNS_Drugs/PMC4221603.nxml,0.0,Paul Hodgkins,employee;employee,Shire;Vertex Pharmaceuticals,Paul Hodgkins is a former employee of Shire and a current employee of Vertex Pharmaceuticals.,
16471,CNS_Drugs/PMC4022988.nxml,0.0,Luca Pani,conflict;interest,,Luca Pani declares that he has no conflict of interest.,declare
16475,CNS_Drugs/PMC4110406.nxml,0.0,Edward Tobinick,patents;methods;use;etanercept;treatment;disorders;patents;patent,,"Edward Tobinick has multiple issued and pending US and foreign patents, assigned to TACT IP, LLC, that claim methods of use of etanercept for treatment of neurological disorders, including but not limited to US patents 6419944, 6537549, 6982089, 7214658, 7629311, 8119127, 8236306, and 8349323, all assigned to TACT IP, LLC; and Australian patent 758523.",issue;pend;assign;claim;include;limit;assign
16478,CNS_Drugs/PMC4078236.nxml,1.0,Julia Höfler,honoraria;travel;support,speakers’;GL Pharma,Julia Höfler has received speakers’ honoraria from UCB Pharma and travel support from Eisai and GL Pharma.,receive
16479,CNS_Drugs/PMC4078236.nxml,0.0,Alexander Zerbs,conflict;interest,,Alexander Zerbs has no conflict of interest to declare.,declare
16480,CNS_Drugs/PMC4078236.nxml,0.0,Francesco Brigo,speaker;honoraria,UCB Pharma,Francesco Brigo received speaker’s honoraria from UCB Pharma.,receive
16486,CNS_Drugs/PMC4513191.nxml,0.0,Bong Chul Chu,authors;contributions;study,,The authors wish to acknowledge Bong Chul Chu for his statistical contributions to the study.,wish;acknowledge
16487,CNS_Drugs/PMC4555339.nxml,1.0,Cheryl Waters,investigator;trials;honoraria;speaking;engagements,Impax;UCB and Teva Pharmaceuticals,Cheryl Waters has been an investigator in Impax-sponsored clinical trials and has received honoraria for speaking engagements from UCB and Teva Pharmaceuticals.,sponsor;receive
16488,CNS_Drugs/PMC4555339.nxml,0.0,Paul Nausieda,honoraria;laboratories;services;investigator,,"Paul Nausieda has received honoraria from Impax laboratories, Inc. for consulting services and as an investigator.",receive;consult
16489,CNS_Drugs/PMC4555339.nxml,0.0,Teva Neuroscience,behalf;stock;companies,"UCB, Inc.;Teva Pharmaceuticals;Abbott Laboratories;Bristol-Myers Squibb;Celgene;Dow Chemical;Dupont;Durata Therapeutics;Eli Lilly;GlaxoSmithKline;Humana;Impax Laboratories, Inc.;Neogen;Roche Holding;Sigma-Aldrich","He has spoken on behalf of Novartis, UCB, Inc., and Teva Pharmaceuticals and has held stock in the following companies: Abbott Laboratories, Bristol-Myers Squibb, Celgene, Dow Chemical, Dupont, Durata Therapeutics, Eli Lilly, Gilead, GlaxoSmithKline, Humana, Impax Laboratories, Inc., Johnson and Johnson, Neogen, Roche Holding, Sigma-Aldrich, and Teva Neuroscience.",speak;hold;follow
16490,CNS_Drugs/PMC4555339.nxml,1.0,Lyudmila Dzyak,investigator;trials,,Lyudmila Dzyak has been an investigator in Impax-sponsored clinical trials.,sponsor
16491,CNS_Drugs/PMC4555339.nxml,0.0,Joerg Spiegel,investigator;trials,,Joerg Spiegel has been an investigator in Impax-sponsored clinical trials.,sponsor
16492,CNS_Drugs/PMC4555339.nxml,1.0,Monika Rudinska,investigator;trials,,Monika Rudinska has been an investigator in Impax-sponsored clinical trials.,sponsor
16493,CNS_Drugs/PMC4555339.nxml,1.0,Dee Silver,,,Dee Silver has nothing to declare.,declare
16494,CNS_Drugs/PMC4555339.nxml,1.0,Elena Tsurkalenko,trials,,Elena Tsurkalenko has participated in Impax-sponsored clinical trials.,participate;sponsor
16496,CNS_Drugs/PMC4555339.nxml,1.0,Ann Hsu,employee;studies;stock,Impax Laboratories,Ann Hsu was an employee of Impax Laboratories when the studies were conducted and owns Impax stock.,conduct;own
16497,CNS_Drugs/PMC4653245.nxml,1.0,Carla White,sadness;authors;passing;BSc;contributions;article,,"With great sadness, the authors wish to acknowledge the passing of Carla White, BSc, CStat, and recognize her contributions to this article.",wish;acknowledge;cstat;recognize
16499,CNS_Drugs/PMC4676085.nxml,1.0,Maria Roberts,authors;trial;head;study;design;data;collection;delivery;trial,Novartis Pharmaceutical Corporation,"The authors would like to thank Maria Roberts, the trial head employed by Novartis Pharmaceutical Corporation, who contributed to the study design and data collection and was accountable for the delivery of the trial.",like;thank;employ;contribute
16500,CNS_Drugs/PMC4676085.nxml,0.0,Praveen Duhan,authors;contributions;feedback;review;development;manuscript,,"The authors also acknowledge the contributions of Praveen Duhan, MD for providing valuable feedback and review during the development of the manuscript.",acknowledge;provide
16501,CNS_Drugs/PMC4676085.nxml,0.0,Michael Huss,advice;design;data;collection;interpretation;guidance;development;manuscript,,"Michael Huss provided medical advice, contributed to study design, data collection and interpretation, providing guidance to the development of manuscript.",provide;contribute;study;provide
16504,CNS_Drugs/PMC4676085.nxml,0.0,Vinod Kumar,study;design;conduct;study;data;analysis;data;interpretation,,"Vinod Kumar contributed to the study design and conduct of the study, as well as data analysis and data interpretation.",contribute
16505,CNS_Drugs/PMC4676085.nxml,0.0,Preetam Gandhi,specialist;trial;conduct;study;analysis;data;interpretation;direction;preparation;manuscript,,"Preetam Gandhi was the medical specialist for the trial and contributed to the conduct of the study, data analysis and data interpretation and provided direction in the preparation of the manuscript.",contribute;data;provide
16506,CNS_Drugs/PMC4676085.nxml,0.0,Michael Huss,member;support;travel;meetings;payment;lectures,the International Advisory Board of Novartis,Michael Huss is a member of the International Advisory Board of Novartis and has received support for travel to different meetings and payment for lectures.,receive
16507,CNS_Drugs/PMC4676085.nxml,1.0,Ylva Ginsberg,consultant;speaker,,Ylva Ginsberg has served as a consultant and speaker for Novartis and Janssen-Cilag.,serve
16508,CNS_Drugs/PMC4676085.nxml,0.0,Torben Arngrim,member,Advisory Board,Torben Arngrim has been member of an Advisory Board organized by Novartis in Frankfurt in June 2010.,organize
16511,CNS_Drugs/PMC4733144.nxml,1.0,Lucette A. Cysique,A.;mentors,,"Dr. Lucette A. Cysique would like to thank her mentors, Profs.",like;thank
16514,CNS_Drugs/PMC4733144.nxml,0.0,Thomas M. Gates,support;author;involvement;neuroHIV;research;opportunity;paper;work,,Thomas M. Gates would also like to thank Prof. Brew for his ongoing support as the author increases his involvement in neuroHIV research and in particular the opportunity to contribute to this paper through his collaborative work with Dr. Cysique.,like;thank;increase;contribute
16515,CNS_Drugs/PMC4733144.nxml,0.0,Donald R. Franklin,authors;replies;queries;neuropsychology;methods;psychometrics;years,HNRC,The authors would like to thank Donald R. Franklin from the HNRC for his prompt replies to all queries on neuropsychology methods and psychometrics across the years.,like;thank
16516,CNS_Drugs/PMC4733144.nxml,1.0,Lucette A. Cysique,A.;students;research;assistants;inquisitiveness;challenges;research;review,,Dr. Lucette A. Cysique would like to thank her students and research assistants for their inquisitiveness and challenges in some of the research we are doing together; some of which have helped the current review.,like;thank;help
16517,CNS_Drugs/PMC4733144.nxml,1.0,Melinda E. Cooper,style;grammar;version;manuscript,,We would like to thank A/Prof. Melinda E. Cooper for revising the English style and grammar of an early version of the manuscript.,like;thank;revise
16518,CNS_Drugs/PMC4839032.nxml,0.0,Geoffrey Shaw,authors;consultation;paper,,The authors thank Prof. Geoffrey Shaw for his linguistic consultation of the paper.,thank
16520,CNS_Drugs/PMC4920856.nxml,0.0,Sidney Tobinick,article;memory;father;husband,,"This article is dedicated to the memory of Sidney Tobinick, loving father and husband.",dedicate;love
16523,CNS_Drugs/PMC5078162.nxml,1.0,Karine Leclercq,seizure;model;data;knockout;mice,,Karine Leclercq is greatly acknowledged for sharing the seizure model data generated with SV2B knockout mice.,acknowledge;share;generate;sv2b
16524,CNS_Drugs/PMC5078162.nxml,0.0,Laurent Provins,help;Provins;preparation,,The help of Dr. Laurent Provins with preparation of Fig.  ,
16526,CNS_Drugs/PMC5078162.nxml,0.0,Sjoerd Finnema,PET;imaging;data;radiotracer;preparation,,We are grateful to Dr. Sjoerd Finnema for sharing PET imaging data obtained with [ 11 C]UCB-J radiotracer and preparation of Fig.  ,share;obtain
16527,CNS_Drugs/PMC5078162.nxml,1.0,Barbara Bennett,review;manuscript,,"We thank Dr. Barbara Bennett, UCB, for her review of the manuscript.",thank
16534,CNS_Drugs/PMC5488121.nxml,0.0,Aidan Power,manuscript;comments,,Dr. Aidan Power (Alzheon) kindly reviewed the manuscript and internal editorial comments.,review
16535,CNS_Drugs/PMC5488121.nxml,1.0,Helena Kocis,help;preparation;graphics;files,,We thank Helena Kocis for her kind help with the preparation of graphics files.,thank
16538,CNS_Drugs/PMC5511298.nxml,1.0,Jennifer Coward,guidance;literature;search;selection;studies;inclusion;writing;support;stages;manuscript;development,Anthemis Consulting Ltd,"I am grateful to Jennifer Coward of Anthemis Consulting Ltd who, under my guidance, undertook the literature search, assisted in the selection of studies for inclusion and provided medical writing support at all stages of manuscript development.",undertake;assist;provide
16541,CNS_Drugs/PMC5533822.nxml,0.0,Shailesh Desai,PhD;manuscript;accuracy,,"Shailesh Desai, PhD, from Shire, reviewed and edited the manuscript for scientific accuracy.",review;edit
16542,CNS_Drugs/PMC5533872.nxml,1.0,Janelle Ashton,TGA;assistance,TGA;the New Zealand Pharmacovigilance Centre,"We acknowledge the TGA and the New Zealand Pharmacovigilance Centre for their significant assistance, especially Janelle Ashton.",acknowledge
16543,CNS_Drugs/PMC5533872.nxml,0.0,James Stanley,Thanks;advice;analyses,,"Thanks to James Stanley, biostatistician, for advice on statistical analyses.",
16544,CNS_Drugs/PMC5730627.nxml,0.0,Jeffrey Newcorn,author;investigator;access;study;data;responsibility;integrity;data;accuracy;data;analysis,,"Jeffrey Newcorn, the lead author and primary investigator, had full access to all study data and takes responsibility for the integrity of the data and the accuracy of the data analysis.",take
16545,CNS_Drugs/PMC5730627.nxml,1.0,Lisa Politza,authors;employee;comments;development;manuscript,BS,"The authors would like to acknowledge Lisa Politza, BS (a former employee of Shire), for her insightful comments during the development of this manuscript.",like;acknowledge
16548,CNS_Drugs/PMC5747579.nxml,1.0,Cathy Widmann,authors;assistance,Ildiko Racz,The authors thank Ildiko Racz and Cathy Widmann for editorial assistance.,thank
16550,CNS_Drugs/PMC5976689.nxml,0.0,Jim Purvis,assistance;publication,Oxford PharmaGenesis,"Jim Purvis of Oxford PharmaGenesis, Oxford, UK provided writing assistance for this publication.",provide;write
16551,CNS_Drugs/PMC6061426.nxml,0.0,Jamie Ashman,PhD;writing;support,Prism Ideas,"We also thank Jamie Ashman, PhD, of Prism Ideas for medical writing support.",thank
16555,CNS_Neurol_Disord_Drug_Targets/PMC5070418.nxml,0.0,Masashi Mizuguchi,authors;advice;article,The University of Tokyo,The authors greatly appreciate Masashi Mizuguchi (The University of Tokyo) for critical advice to this article.,appreciate
16557,CNS_Neurol_Disord_Drug_Targets/PMC5388798.nxml,0.0,Xiang Li,assistance;manuscript;preparation,,We thank Xiang Li for his assistance with the manuscript preparation.,thank
16559,CNS_Neurosci_Ther/PMC2972642.nxml,0.0,James Dutt,reading;language;editing;manuscript,,"We are very grateful to James Dutt, IEM ASCR, Prague, for critical reading and language editing of the manuscript.",
16566,CNS_Neurosci_Ther/PMC4233984.nxml,1.0,Yun Xu,university,Beijing Tiantan Hospital,"Beijing Tiantan Hospital, Captical medical university), Yun Xu",
16567,CNS_Neurosci_Ther/PMC4233984.nxml,1.0,Ding Xu,An,Gulou Hospital;Nanjing University,"(Gulou Hospital, Nanjing University), An-Ding Xu",
16571,CNS_Neurosci_Ther/PMC5049605.nxml,0.0,Doug Kelsey,consultation,Lilly,Doug Kelsey from Lilly provided medical consultation.,provide
16573,CNS_Neurosci_Ther/PMC5067581.nxml,0.0,Torben Ruhwedel,authors;support,Neurogenetics,"The authors would like to thank Dr. Möbius and Torben Ruhwedel (Dept. of Neurogenetics, MPIEM, Göttingen, Germany) for excellent technical support.",like;thank
16575,CNS_Neurosci_Ther/PMC5067638.nxml,0.0,Quinn Colburn,authors;assistance;preparation;manuscript,,The authors thank the excellent technical assistance of Mr. Quinn Colburn in final preparation of the manuscript.,thank
16576,CNS_Neurosci_Ther/PMC5069588.nxml,1.0,Sarah Lipsius,,,"We thank Sarah Lipsius, inVentiv",thank
16577,CNS_Neurosci_Ther/PMC5095767.nxml,0.0,Suresh Kotagal,pre‐review;comments;manuscript;endeavour,Mayo Clinic,"We would particularly like to thank Dr. Suresh Kotagal, Mayo Clinic, Rochester, for his thoughtful and constructive pre‐review and critical comments, which guided us in our manuscript editing endeavour.",like;thank;guide;edit
16581,CNS_Neurosci_Ther/PMC6055804.nxml,0.0,Timothy Gould,assistance,,We wish to thank Mr. Timothy Gould for technical assistance.,wish;thank
16584,COPD/PMC3399638.nxml,0.0,Hirofumi Kiyokawa,study;design;collection;data;analysis;interpretation;data;manuscript,,"Hirofumi Kiyokawa contributed to the study design, collection of data, analysis and interpretation of data, and writing the manuscript.",contribute;write
16585,COPD/PMC3399638.nxml,0.0,Susumu Sato,study;design;data;collection;analysis,,"Susumu Sato contributed to the study design, data collection and analysis.",contribute
16586,COPD/PMC3399638.nxml,0.0,Naoya Tanabe,study;design;data;collection;analysis,,"Naoya Tanabe contributed to the study design, data collection and analysis.",contribute
16587,COPD/PMC3399638.nxml,0.0,Daisuke Kinose,study;design;data;collection;analysis,,"Daisuke Kinose contributed to the study design, data collection and analysis.",contribute
16588,COPD/PMC3399638.nxml,0.0,Hiroshi Kondoh,study;design;data;collection;analysis,,"Hiroshi Kondoh contributed to the study design, data collection and analysis.",contribute
16589,COPD/PMC3399638.nxml,0.0,Takeshi Kubo,study;design;data;collection;analysis,,"Takeshi Kubo contributed to the study design, data collection and analysis.",contribute
16590,COPD/PMC3399638.nxml,0.0,Yuma Hoshino,study;design;data;collection;analysis,,"Yuma Hoshino contributed to the study design, data collection and analysis.",contribute
16591,COPD/PMC3399638.nxml,0.0,Toyohiro Hirai,study;design;data;collection;analysis,,"Toyohiro Hirai contributed to the study design, data collection and analysis.",contribute
16593,CPT_Pharmacometrics_Syst_Pharmacol/PMC3600724.nxml,1.0,Tanya Tolomeo,authors;Pharsight;assistance,Pharsight,The authors are grateful to Tanya Tolomeo (Pharsight) for editorial assistance.,
16596,CPT_Pharmacometrics_Syst_Pharmacol/PMC3603431.nxml,0.0,Gregory Sivolapenko,support,the Laboratory of Pharmacokinetics of the University of Patras,We thank Gregory Sivolapenko from the Laboratory of Pharmacokinetics of the University of Patras for his support.,thank
16597,CPT_Pharmacometrics_Syst_Pharmacol/PMC3603470.nxml,1.0,Jing Liu,contribution;article,Pfizer Global Research and Development;Top Institute Pharma,"We thank Jing Liu (Pfizer Global Research and Development, Groton, USA) for her contribution to this article via Top Institute Pharma.",thank
16598,CPT_Pharmacometrics_Syst_Pharmacol/PMC3603470.nxml,0.0,Dan Rujescu,haloperidol;data,Department of Psychiatry;Ludwig Maximilians University,"We also thank Dan Rujescu (Department of Psychiatry, Ludwig Maximilians University, Munich, Germany) for sharing the haloperidol data.",thank;share
16601,CPT_Pharmacometrics_Syst_Pharmacol/PMC3603473.nxml,1.0,Stacey Tannenbaum,review;discussion;modeling;results,,We thank Stacey Tannenbaum for her helpful review and discussion of the modeling results.,thank
16602,CPT_Pharmacometrics_Syst_Pharmacol/PMC3828005.nxml,0.0,James Kay,authors;assistance;manuscript,,The authors thank James Kay for his assistance in preparing the manuscript.,thank;prepare
16607,CPT_Pharmacometrics_Syst_Pharmacol/PMC3828008.nxml,0.0,Kevin Krudys,input;proofreading,"the Division of Pharmacometrics, Office of Clinical Pharmacology;Center for Drug Evaluation and Research, Food and Drug Administration","We thank Kevin Krudys in the Division of Pharmacometrics, Office of Clinical Pharmacology, Center for Drug Evaluation and Research, Food and Drug Administration for valuable input and proofreading.",thank
16608,CPT_Pharmacometrics_Syst_Pharmacol/PMC3868978.nxml,0.0,Martin Agback,assistance;aspects;resources,UPPMAX;UPPMAX,Martin Agback at UPPMAX is acknowledged for assistance concerning technical aspects in making NONMEM run on the UPPMAX resources.,acknowledge;concern;make;run
16609,CPT_Pharmacometrics_Syst_Pharmacol/PMC3910015.nxml,0.0,Geoffrey T. Tucker,authors;editing;manuscript,,The authors thank Geoffrey T. Tucker for his thorough editing of the manuscript.,thank
16610,CPT_Pharmacometrics_Syst_Pharmacol/PMC3910015.nxml,0.0,James Kay,help;manuscript,,The help of James Kay in preparing the manuscript is appreciated.,prepare;appreciate
16613,CPT_Pharmacometrics_Syst_Pharmacol/PMC3600757.nxml,1.0,Solange Rohou,authors;co;chairs;leadership,AstraZeneca;MHRA;EMA,The authors also thank the co-chairs Solange Rohou (AstraZeneca) and R.H. (MHRA/EMA) for their tremendous leadership.,thank
16615,CPT_Pharmacometrics_Syst_Pharmacol/PMC3600731.nxml,0.0,Joseph Hebert,authors;assistance;manuscript;publication,,The authors thank Joseph Hebert for his assistance in preparing this manuscript for publication.,thank;prepare
16619,CPT_Pharmacometrics_Syst_Pharmacol/PMC3600725.nxml,1.0,Phoenix WinNonlin,software;member,the Division of Pharmacotherapy and Experimental Therapeutics;UNC Eshelman School of Pharmacy;the Pharsight Academic Center of Excellence Program,"Phoenix WinNonlin software was generously provided to the Division of Pharmacotherapy and Experimental Therapeutics, UNC Eshelman School of Pharmacy, by Certara as a member of the Pharsight Academic Center of Excellence Program.",provide
16624,CPT_Pharmacometrics_Syst_Pharmacol/PMC3731829.nxml,0.0,Nick Juty,proof;reading,,We thank Nick Juty for proof reading.,thank
16627,CPT_Pharmacometrics_Syst_Pharmacol/PMC3697039.nxml,0.0,Stephen Duffull,author;discussions,,The author acknowledges helpful discussions from Piet van der Graaf and Stephen Duffull.,acknowledge;der
16629,CPT_Pharmacometrics_Syst_Pharmacol/PMC3674326.nxml,0.0,David Wille,input,GSK,We thank David Wille (GSK) for statistical input.,thank
16630,CPT_Pharmacometrics_Syst_Pharmacol/PMC3910011.nxml,1.0,Mariana Obertello,authors;help;use,,The authors thank Mariana Obertello for her help with the use of Cytoscape.,thank
16631,CPT_Pharmacometrics_Syst_Pharmacol/PMC3852160.nxml,0.0,Martin Agback,assistance;aspects;resources,UPPMAX;UPPMAX,"Martin Agback at UPPMAX is acknowledged for assistance concerning technical
aspects in making NONMEM run on the UPPMAX resources.",acknowledge;concern;make;run
16633,CPT_Pharmacometrics_Syst_Pharmacol/PMC3817374.nxml,1.0,Janet Wade,authors;comments;manuscript,SGS Exprimo NV,The authors also thank Dr. Janet Wade (SGS Exprimo NV) for her comments on this manuscript.,thank
16637,CPT_Pharmacometrics_Syst_Pharmacol/PMC4026637.nxml,1.0,Noriko Yumoto,authors;blot;analysis;sequencing;CAGE;libraries,the RIKEN Genome Network Analysis Service,The authors thank Noriko Yumoto for western blot analysis and the RIKEN Genome Network Analysis Service for the sequencing of CNhs11141-61 CAGE libraries using the HeliScope (Helicose).,thank
16639,CPT_Pharmacometrics_Syst_Pharmacol/PMC4011166.nxml,0.0,Frank DeVilbiss,discussions,,Frank DeVilbiss for useful discussions.,
16643,CPT_Pharmacometrics_Syst_Pharmacol/PMC4150924.nxml,0.0,Steven J. Warrington,dataset,Hammersmith Medicines Research,"We acknowledge Steven J. Warrington from Hammersmith Medicines Research, who kindly shared the original dataset.",acknowledge;share
16644,CPT_Pharmacometrics_Syst_Pharmacol/PMC4150927.nxml,1.0,Mae Sot,staff;staff;samples,the Shoklo Malaria Research Unit,"They also thank the staff at the Shoklo Malaria Research Unit, Mae Sot, Thailand, and all the staff involved in taking and processing the samples.",thank;involve;take;process
16650,CPT_Pharmacometrics_Syst_Pharmacol/PMC3910016.nxml,0.0,Eric A. Sobie,contributions;performance;computing;resources,Maisum Begum;Mount Sinai,"Initial contributions by Maisum Begum and Eric A. Sobie, as well as the Minerva high performance computing resources at Mount Sinai, are gratefully acknowledged.",acknowledge
16651,CPT_Pharmacometrics_Syst_Pharmacol/PMC3910016.nxml,0.0,Jonathan Herman,Thanks;discussions;software;sensitivity;analysis,Penn State University,Thanks to Jonathan Herman at Penn State University for helpful discussions and software for Sobol sensitivity analysis.,
16652,CPT_Pharmacometrics_Syst_Pharmacol/PMC3910010.nxml,0.0,Aris Dokoumetzidis,authors;help;lumping;technique,"the University of Athens, Greece","The authors thank Aris Dokoumetzidis from the University of Athens, Greece, for his help with the proper lumping technique.",thank
16654,CPT_Pharmacometrics_Syst_Pharmacol/PMC4879472.nxml,0.0,Doug Lauffenburger,colleagues;laboratory;work;workflow;approaches,Entelos Inc.;Merrimack Pharmaceutical Inc.;MIT,"We would also like to acknowledge past colleagues from Entelos Inc., Merrimack Pharmaceutical Inc., and the laboratory of Doug Lauffenburger at MIT, whose prior work has helped shape the proposed workflow and approaches.",like;acknowledge;help;shape;propose
16655,CPT_Pharmacometrics_Syst_Pharmacol/PMC4260002.nxml,1.0,Whit Tingley,authors;discussions;review;manuscript;software;support,Genentech;Asawari Samant,"The authors thank Whit Tingley, Genentech, for technical discussions and review of the manuscript and Asawari Samant, Mathworks, for Simbiology and MATLAB software support.",thank
16657,CPT_Pharmacometrics_Syst_Pharmacol/PMC4120017.nxml,0.0,Motohiro Kato,support;simulation,Chugai Pharmaceutical;Monte Carlo,We thank Dr. Motohiro Kato (Chugai Pharmaceutical) for his technical support of the Monte Carlo simulation.,thank
16661,CPT_Pharmacometrics_Syst_Pharmacol/PMC4076806.nxml,0.0,Amr Abouelleil,author;contribution;editing;revision;manuscript,,The author thanks Amr Abouelleil for his contribution to the editing and revision of the manuscript.,thank
16663,CPT_Pharmacometrics_Syst_Pharmacol/PMC4039390.nxml,1.0,Elise Laffman-Johnson,support;staff,Editorial Office;the American Society for Clinical Pharmacology and Therapeutics (ASCPT;Publications;Publications,"We also acknowledge the excellent support provided by the staff at our Editorial Office at the American Society for Clinical Pharmacology and Therapeutics (ASCPT), Elise Laffman-Johnson (Managing Editor and Senior Director of Publications) and Nhat-Thanh Ngo (Publications Manager).",acknowledge;provide;manage
16666,CPT_Pharmacometrics_Syst_Pharmacol/PMC4042458.nxml,1.0,Phoenix WinNonlin,software;member,"the Division of Pharmacotherapy and Experimental Therapeutics;UNC Eshelman
School of Pharmacy;the Pharsight Academic Center of Excellence
Program","Phoenix WinNonlin software was generously
provided to the Division of Pharmacotherapy and Experimental Therapeutics, UNC Eshelman
School of Pharmacy, by Certara as a member of the Pharsight Academic Center of Excellence
Program.",provide
16667,CPT_Pharmacometrics_Syst_Pharmacol/PMC4042458.nxml,0.0,David P Paine,M.F.P.;article,M.F.P.,M.F.P. dedicates this article to Dr. David P Paine.,dedicate
16668,CPT_Pharmacometrics_Syst_Pharmacol/PMC4039392.nxml,1.0,Joanne Radcliffe,study;team;study;management,,We thank the Cambridge study team and Joanne Radcliffe for study management.,thank
16669,CPT_Pharmacometrics_Syst_Pharmacol/PMC4759703.nxml,0.0,René Bruno,authors;discussions,,The authors wish to acknowledge René Bruno for useful discussions.,wish;acknowledge
16670,CPT_Pharmacometrics_Syst_Pharmacol/PMC4051377.nxml,0.0,Darrell Abernethy,authors;support;comments;manuscript,the US Food and Drug Administration,The authors thank Dr. Darrell Abernethy at the US Food and Drug Administration for his support and comments on the manuscript.,thank
16671,CPT_Pharmacometrics_Syst_Pharmacol/PMC4051377.nxml,0.0,Phillipe O'Brien,authors;support,the University of Michigan,The authors also thank Dr. Phillipe O'Brien at the University of Michigan for his editorial support.,thank
16674,CPT_Pharmacometrics_Syst_Pharmacol/PMC4260000.nxml,1.0,Stacey Tannenbaum,R;code,,We thank Stacey Tannenbaum for writing and providing the R-code in the  Supplementary Material .,thank;write;provide
16678,CPT_Pharmacometrics_Syst_Pharmacol/PMC4360666.nxml,0.0,Mark Pepys,manuscript;review;advice;comments,,"We also thank Professor Sir Mark Pepys for his manuscript review, advice, and comments.",thank
16681,CPT_Pharmacometrics_Syst_Pharmacol/PMC4369757.nxml,1.0,Cécile Dufour,authors,Ventzislava Petrov Sanchez;Setty Allam;ANRS;University Pierre et Marie Curie,"The authors thank Ventzislava Petrov Sanchez and Setty Allam (ANRS) and Cécile Dufour (Inserm UMR 1136, University Pierre et Marie Curie, Paris, France).",thank
16683,CPT_Pharmacometrics_Syst_Pharmacol/PMC4394619.nxml,1.0,Joanne Flynn,members;research;group;measurements;antibiotics;primate;model;infection;discussions,,We thank Joanne Flynn and the members of her research group for providing the existing experimental measurements of orally dosed antibiotics in the non-human primate model of infection and also for helpful discussions.,thank;provide;exist;dose
16685,CPT_Pharmacometrics_Syst_Pharmacol/PMC4394613.nxml,0.0,Daniel Cook,authors;input;model;drafting;manuscript,,The authors thank Daniel Cook for his input on the model and on the drafting of the manuscript.,thank
16690,CPT_Pharmacometrics_Syst_Pharmacol/PMC4429576.nxml,0.0,Issam Zineh,authors;input;advice;planning;stages;workshop,,The authors thank Dr. Issam Zineh for valuable input and advice during the planning and executing stages of the workshop.,thank;execute
16692,CPT_Pharmacometrics_Syst_Pharmacol/PMC4452934.nxml,0.0,Iain Gardner,authors;discussions,,"The authors thank Dr Iain Gardner (SimCYP, Sheffield, UK) for helpful discussions.",thank
16693,CPT_Pharmacometrics_Syst_Pharmacol/PMC4505826.nxml,0.0,Michael Zuehlsdorf,discussion;comments;model;building;process,,We thank Michael Zuehlsdorf for helpful discussion and comments during the model-building process.,thank
16697,CPT_Pharmacometrics_Syst_Pharmacol/PMC4474171.nxml,1.0,Janine Buonato,review;manuscript,,"We also thank Janine Buonato for review of
the manuscript.",thank
16707,CPT_Pharmacometrics_Syst_Pharmacol/PMC4592531.nxml,0.0,Lambertus A. Peletier,authors;discussions;model,,The authors thank Lambertus A. Peletier for insightful discussions on the model.,thank
16708,CPT_Pharmacometrics_Syst_Pharmacol/PMC4592528.nxml,0.0,Bert Lum,comments;preparation;refinement,Perspective,We thank Dr Bert Lum for helpful comments in the preparation and refinement of this Perspective.,thank
16710,CPT_Pharmacometrics_Syst_Pharmacol/PMC4846777.nxml,0.0,Pravin Jadhav,preparation;manuscript,Rajnikanth Madabushi,Pravin Jadhav and Rajnikanth Madabushi during the preparation of this manuscript.,
16711,CPT_Pharmacometrics_Syst_Pharmacol/PMC4846777.nxml,1.0,Rebecca Ceraul,authors;feedback;manuscript,University of Maryland,"The authors would also like to acknowledge Ms. Rebecca Ceraul, University of Maryland, for constructive feedback on the manuscript.",like;acknowledge
16712,CPT_Pharmacometrics_Syst_Pharmacol/PMC4625864.nxml,0.0,William Hanley,authors;PhD;review;input;data;assembly,,"The authors thank William Hanley, PhD, for review and scientific input, and Shweta Vadhavkar, MS, for clinical data assembly.",thank
16714,CPT_Pharmacometrics_Syst_Pharmacol/PMC4625865.nxml,1.0,Debra H.,research,,"I.G., L.G., M.J., B.G.S., J.W., K.R., D.H., Debra H., and L.A. designed the research.",design
16715,CPT_Pharmacometrics_Syst_Pharmacol/PMC4716580.nxml,0.0,David Coffey Life Lab,thanks;Lab;support,,M.R. thanks the Judith and David Coffey Life Lab for their support.,
16717,CPT_Pharmacometrics_Syst_Pharmacol/PMC4474165.nxml,1.0,Emilie Hénin,authors,,The authors would like to acknowledge Emilie Hénin (,like;acknowledge
16722,CPT_Pharmacometrics_Syst_Pharmacol/PMC3615534.nxml,0.0,Mario Niepel,discussions,"
Harvard Medical School","We thank Mario Niepel from
Harvard Medical School for useful discussions.",thank
16729,CPT_Pharmacometrics_Syst_Pharmacol/PMC4759704.nxml,0.0,David P. Paine,M.F.P.;article,M.F.P.,M.F.P. dedicates this article to Dr. David P. Paine.,dedicate
