tag,observations
The GERMS-SA team 2012–2013,1
Cysticercosis Working Group in Peru:,1
Program Office,1
Women’s Health Initiative Memory Study,1
Multi-Ethnic Study of Atherosclerosis,1
President,1
Tongogara,1
Shurugwi,1
St Theresa’s,1
Mvuma,1
Field Hub Teams,1
Ministry of Health and Child Care / Government of Zimbabwe,1
Zvitambo Institute for Maternal and Child Health Research—Head Office,1
Field Management Team,1
Technical and Management Team,1
Analysis and Writing Committee,1
EC funded MPI_AGE Project Investigators,1
Non-endorsement disclaimer,1
Supervisor,1
Taiwan Society of Nephrology,1
2011 surveillance workshop group,1
Sponsoring Agencies,1
Participating Sites,1
Presentation of study findings,1
Members of the Spanish Group for the Study of New HIV-1 Diagnoses in Galicia and Basque Country,1
Study monitors,1
Investigators participating in the Outcomerea database,1
AutoMS project Investigators,1
The VRC 701 study team,1
ADNI Data Protocol,1
CLARIFY Investigators,1
CLARIFY Registry Investigators,1
Icona foundation study group,1
Ethical Publication Statement,1
Members of the Cysticercosis Working Group in Peru,1
Authors’ Disclaimer,1
Members of the Franco-Beninese Buruli Research Group France:,1
(1) ATHENA Cohort (The Netherlands),1
Clinical,1
Validation Cohort: Royal Free Hospital Clinic Cohort,1
(11) Swiss HIV Cohort Study (Switzerland),1
(10) Nice Cohort (France),1
(9) ICONA Cohort (Italy),1
(8) HivBivus (Sweden),1
Participating countries and physicians (#national coordinator):,1
(7) EuroSIDA (multinational),1
(6) Community Programs for Clinical Research on AIDS (US),1
(5) The Brussels St. Pierre Cohort (Belgium),1
(4) BASS (Spain),1
(3) Australian HIV Observational Database (Australia),1
(2) Aquitaine Cohort (France),1
Participating Cohorts,1
ADVANZ,1
D:A:D Study Group,1
Comparative Risk Assessment Collaborating Group,1
T2D-GENES Consortium,1
International IBD Genetics Consortium,1
NIDDK IBD Genetics Consortium,1
Epilepsy Phenome/Genome Project Members,1
Epi4K Consortium Members and Additional Contributors,1
Consortia,1
NEIGHBOR contributors,1
eMERGE II contributors,1
Members of the COPDGene Investigators–Clinical Centers,1
Members of the COPDGene Investigators Core Units,1
Members of the SPIROMICS Research Group,1
Epidemiology/biostatistics,1
Laboratory,1
Validation Cohort: SMART/ESPRIT,1
ESPRIT Study Group,1
OH-NEXTGEN,1
ICONZ,1
Ten regional co-ordinating centres,1
Members of the CKB collaborative group,1
Members of the TEDDY Study Group,1
Other members,1
Collaborating Trialists,1
Intervention development,1
Trial coordination and implementation,1
HVTN 104 protocol team,1
Contributions to the PROGRESS study group,1
Members of the Lifelines Cohort Study,1
Members of the EPIC-InterAct Consortium,1
Members of the EPIC-CVD Consortium,1
Members of the CLOTHES Trial Team (contributors),1
iCST trial group,1
Members of TRICL,1
Members of ELLIPSE,1
Members of DRIVE,1
Members of CORECT,1
Partners Demonstration Project Team,1
PROLOGUE Study Investigators,1
Consortia Coauthors,1
RAPIDE-TKM Trial Team,1
Members of the GRIPP Working Group,1
Membership of the MAMI Working Group Collaborators,1
SMART Study Group,1
FRANCE,1
ITALY,1
Individual studies,1
Statement of Competing Interests,1
PROSPECT pilot trial clinical collaborators,1
PROSPECT pilot steering committee,1
PROSPECT pilot methods center,1
PROSPECT pilot writing committee,1
Author statement and acknowledgements,1
Disclosure/conflict of interest,1
Disclosure/Conflict of Interest,1
Institutions at which the work was performed,1
The ELGAN study investigators,1
Informed consent Informed consent was obtained from all individual participants included in the study.,1
Ethical approval All procedures performed in studies involving human participants were in accordance with the Sun Yat-Sen University Cancer Center Research Ethics Board and with the 1964 Helsinki declaration and its later amendments or comparable ethical standards.,1
Conflict of Interest The authors declare that they have no conflict of interest.,1
Authors’ Contribution and Declarations,1
Acknowledgements and Grant Support,1
CSAW Study Group Members:,1
IV. AKNOWLEDGMENT,1
VII. ACKNOWLEDGEMENTS,1
Authors’ Statement of Conflict of Interest and Adherence to Ethical Principles,1
Adherence to ethical principles,1
Acknowledgment of support,1
Ackknowledgements,1
The name of the ethics committee that approved the study and the committee’s reference number,1
Data set,1
For the Consortium of Hospitals Advancing Research on Tobacco (CHART),1
Contributions and Acknowledgements,1
Funding & Support,1
Accession code,1
Other Information,1
US investigators,1
TARGet kids! collaboration,1
Study Approval,1
Independent physician,1
Funding and ethics,1
Other assistance,1
Version control,1
"Role of funders and sponsor in study design, study conduct, data analysis and the decision to publish",1
Role of study sponsor and funder,1
Trial sponsor information,1
Role of the study sponsors,1
Acknowledgements and funding disclosures,1
Disclosures of funding support and explanation of the role of the funder/sponsor,1
MRC START Expert Consensus Group,1
MRC START Group,1
Key staff at coordinating centers,1
Clinical centers and principal investigators (all in the Netherlands),1
Data safety monitoring committee,1
LaVIISWA trial team,1
EARLY Registry Group,1
Other,1
Name and contact information for sponsor,1
Study site,1
Endpoint adjudication committee,1
Sponsor and funder,1
MRC Hub for Trials Methodology Research Network Workshop Members,1
The CHAP investigators,1
MAAS study group,1
Timetable,1
TARGet Kids! collaboration,1
Institution at which the work was performed:,1
Protocol number and version,1
Ethics Guidelines,1
Spectrometry proteomics data,1
"Coordinating Office (Clinical Trial Service Unit, Nuffield Department of Population health, University of Oxford):",1
Ethical standards and consent to participate,1
Ethics approval and patient consent,1
Ethics committees,1
Statement of location,1
Ethical committee review,1
Patients’ consent,1
Ethic committee approval,1
Ethics standard,1
Authors’ consent,1
Informed consents,1
Welfare of animals,1
Patient agreement,1
Ethics approval number,1
Consent for publication (if applicable),1
Novelty,1
Future works,1
Impact on daily practice,1
Ethic committee,1
Writing assistance,1
Ethical approval (for humans),1
Ethical approval (for animals),1
Originality,1
Consent/ethics,1
Ethical consideration and participants consent,1
Notice of republication,1
Fundations,1
Ethical approval of human subjects,1
Ethical approval of animals,1
Ethics board approval,1
Written consent,1
Implication for health policy makers/practice/research/medical education,1
Ethics committee approval and patient consent,1
Authorship and disclosures,1
Original Animal Studies,1
Funding and all other required statements,1
Author Contributions statement,1
Support sponsors,1
Ammendments,1
Glossary of terms,1
Funding and contributions,1
ACKNOWLEDGMENTS/DISCLOSURE,1
ADD ACKNOWLEDGEMENT,1
COLOR study group participating investigators and centres,1
Ladies trial collaborators,1
Foundation,1
Study sites,1
PERFORM IV Study Group (in alphabetical order),1
Acknowledgements/Grant support,1
Conflict interests statement,1
Data control statement,1
Availability of data and supportinng materals,1
Acknowledgements/Disclosure,1
Study Organisation and Funding,1
Informed Consent and Conformity to the Declaration of Helsinki,1
Ethical standard statement,1
Conflict of intererst,1
The study has been presented in part during the following meetings by oral presentation (op) or discussed poster (dp):,1
Funding for Study,1
Other Assays,1
Compliance of Ethical Standards,1
Acknowledgements and funding source,1
Members of ASCEND Study Collaborative Group (Additional file 6),1
Trial co-sponsors,1
NETHERLANDS,1
Contacts,1
The Steering Committee of Asthma Study Group in KATRD,1
Authors’ disclaimer,1
Acknowledgements of support,1
Animal ethics and usage,1
Trial identifier and registry name,1
Indemnity statement,1
Risk to participants,1
Coordinating teams,1
Publication plans,1
Responsibilities in the course of the trial,1
Insurance,1
Dissemination policy and access to data,1
"Risks, side effects, and disadvantages",1
Information about risks and benefits and informed consent,1
Financial acknowledgements,1
Risks and benefits,1
Authorship and publication,1
Data Monitoring Committee (DMC) Members,1
Trial Steering Committee (TSC) Members,1
Research ethics approval,1
Heading,1
Trial organization,1
Trial Steering Committee and Independent Data Monitoring Committee,1
Governance and audit,1
Principal investigator at each centre,1
Review meetings,1
Data Monitoring Committee (DMC),1
Members of the Steering Committee,1
The Scientific Committee of Asthma Study Group in KATRD,1
Acknowledgements and declaration of interest,1
Management,1
Participation in the paper,1
Core tip,1
Certification,1
Grant support and financial disclosure,1
Authors’ declaration,1
Acknowledgement & Funding,1
Dutch Vascular Access Study Group,1
Key message,1
Strengths and limitations of this study,1
Data avaliability statement,1
Manufacturers,1
Financial/non-financial disclosures,1
Ethics approval and consent to partici[pate,1
Consent for pubblication,1
Participating centres (number of enrolled patients per centre; local investigators),1
Disclosures and conflicts of interest,1
Acknowledgements and funding information,1
Data Availabitity,1
Funding and Conflict of Interest Statement,1
Disclosures of Potential Conflicts of Interest,1
Declaration of Conflict of Interests,1
Depositories,1
Plant sampling permission,1
Declaration of funding interests,1
The PALGA group,1
Conflict-of-interest statement,1
16. Acknowledgements,1
16. Acknowledgments,1
Conflict of Interests Statement,1
Coordination centre,1
Participants’ safety and adverse events,1
Access to trial data and documents,1
Availability of the final trial dataset,1
Publication policy and consent,1
CONSORT,1
Recruitment and consent,1
Funder disclaimer,1
Survey of personnel,1
Author eligibility guidelines,1
Publication,1
Data and safety monitoring board members,1
Trial management and oversight,1
Ethics approval and research governance,1
Additional relevant MeSH terms,1
ASPiVLU investigator group,1
Dissemination policy / Availability of data and material,1
Role of study sponsor and funders,1
Role of the Sponsor and funders,1
Author declarations,1
Individuals and groups overseeing the trial,1
Additional authors’ information,1
Study sponsor/data access,1
Name and contact of trial sponsor,1
Consent to participate and ethics approval,1
Study sponsors,1
Independent safety and data monitoring committee,1
Safety,1
Publication plan,1
Ethics and dissemination,1
Tasks and responsibilities,1
Trial reporting,1
Ethical considerations and informed consent,1
NIHR disclaimer,1
Dissemination of research findings,1
Source of funding for authors,1
The PERCOG Study Group,1
Investigator responsibilities,1
Trial organisation,1
Data monitoring,1
SPIRIT,1
World Health Organization trial registration dataset,1
Data sharing and dissemination,1
Contact information of trial sponsor,1
Trial amendments,1
Compensation for injury,1
Auditing,1
Data collection and management,1
Trial committees,1
Trial oversight,1
Participant insurance,1
Certificate of confidentiality,1
Clinician participants,1
Voluntariness,1
Assessment of comprehension,1
Disclosure of relevant information,1
Sponsorship and trial management,1
Authorships of scientific papers emerging from the study,1
Ethics approval and consent to participate,1
Open Peer Review,1
Written informed consent,1
Trial governance and management,1
Role of funding agency,1
SPIRIT Checklist,1
Human and animal rights and Informed consent,1
Detail of ethics approval,1
Ethical approvement,1
Acknowledgments & DISCLOSURES,1
Author Contributions and Acknowledgements,1
Working group of the students of the Torino Medical School,1
Acknowledgememt,1
Acknowledgmemt,1
Funding and other disclosures statement,1
Authors’ declarations,1
Acknowledgements and Funding Disclosures,1
Financial support and conflicts of interest,1
Acknowledgments and Financial Support,1
Acknowledgment and Disclosure,1
ACKNOWLEDGMENTS AND DISCLOSURE,1
Acknowledgments & Disclosures,1
ACKNOWLEDGMENTS & Disclosures,1
ACKNOWLEDGEMENT AND DISCLOSURES,1
Role of sponsors and funders,1
Acknowledgements / Sources of Funding,1
In remembrance,1
University information,1
Tip,1
Work attributed to,1
University Information,1
Funding/support sources,1
Sources of support in the form of grants,1
POQI work groups,1
Abbreviated title,1
Meetings presented,1
Attribution,1
"Individual animal data for fumin, second experiment",1
ACKNOWLEDGMENTS AND GRANTS,1
Committees involved in the study,1
Raw data describing control and insomniac sleep behavior,1
Timescale,1
Text box,1
Plant licences,1
Authors' contributions,1
Guidelines and/or appropriate permissions,1
Equal opportunity statement,1
Commercial endorsement disclaimer,1
Statement of Conflict of Interest,1
"Collaborators for The Pituitary Society, Expert Group on Pituitary Tumors",1
Contact for trial sponsor,1
Emergency caesarean section,1
Elective caesarean section,1
"Trial registration, protocol and sponsorship",1
Universal Trial Number,1
Current status of study,1
Items from the WHO trial registration data set,1
Role of sponsor and collaborative organisations,1
Trial participating centre,1
External scientific review,1
Funding/sponsor,1
CHANGE study investigators,1
Study monitoring,1
Study sponsor and funder,1
Study organization and funding,1
United States investigators,1
PROSPECT Pilot Trial clinical collaborators,1
Career funding,1
Trial funding,1
Role of sponsor and funders in study,1
Raw data for rebound experiment,1
"Individual animal data for fumin, first experiment",1
Funding sources/disclosures,1
PeNSAMI project investigators,1
ACKNWOLEDGMENT,1
ACKNOWLEDGE¬MENT,1
Compliance with Ethics Guide,1
FUNDING AND ACKNOWLEDGEMENTS:,1
OTHER ACKNOWLEDGEMENTS:,1
Author contributions and accountability,1
Ethics committee waiver,1
Members of the Partners PrEP Study Team,1
Study site principal investigators and study coordinators at sites contributing data and samples to this genomics study,1
Members of the Partners in Prevention HSV/HIV Transmission Study Team,1
The Study Groups include: from SEARCH/TRCARC/HIV-NAT,1
DSMB-members,1
The FIRST study group,1
The REDISSEC CARESS-CCR (health services research network in colorectal cancer)- group:,1
GenBank,1
GESIDA-8715 Study Group,1
Committee of Experts,1
Faculty protocol reviewers,1
CLAIMS research team,1
Contributor roles and institutional information,1
Deep learning backpropagation for supervised training,1
U.K.,1
SWITZERLAND,1
SWEDEN,1
SPAIN,1
PORTUGAL,1
POLAND,1
NORWAY,1
Remerciéments,1
Financial suppport,1
"Individual animal data for iso31, second experiment",1
Acknowledgments and author contributions,1
"Individual animal data for iso31, first experiment",1
Relationship between sleep bout count and mean sleep bout length in individual control and fumin animals,1
Relationship between activity bout count and mean activity bout length in individual control and insomniac animals,1
"Ethics approval, consent to participate and permissions",1
Departments and institutions to which work is attributed,1
Departments and Institutions to which work is attributed,1
Acknowledgements of Financial Support,1
Questions (answers are provided following the reference list),1
Ethical standarad,1
Consent and permissions,1
Funding statement or Declaration of conflicting interests,1
IRB/Ethics Board,1
Intellectual property,1
Funding Disclosures,1
List of financial support,1
Confict of Interests,1
Contributions to the study,1
Acknowledgements/Conflict of interest and funding,1
Availability of material,1
8.0 Acknowledgements,1
Availability of the French Version of the DIP,1
Grant Sponsors,1
Additional disclaimers,1
Final note,1
Collaboration group,1
Ethics statement and consent for publication,1
Additional members of the HERACLES’ extended network are:,1
Acknoweledgements,1
Note from the Editor: Professor Keith Grimwood,1
Acknoweledgment,1
AROs Working Collaborative Group,1
Permissions and Licenses,1
Source of grants,1
The airport study group,1
Members of the “Austrian Working Group on Improvement of Early TBI Care”,1
Funding sources and disclosures,1
Roles and responsibilities-contributorship,1
"Ethics, funding, and declaration of conflicting interests",1
Acknowledgmet,1
"ACKNOWLEDGMENTS, POTENTIAL CONFLICTS AND SUPPORT",1
Conflict of interserts,1
Acknowledgments and contributors,1
Acknoweldgements,1
Publishers' Note,1
Downloads,1
Compliance with ethics guideline,1
Meeting,1
Statement of Ethics Compliance,1
ACKNOLEGMENTS,1
ACKNOWLEDGMEMT,1
Ethical approval and consent to be participate,1
Online supplemental material,1
The Authors,1
Copyright and license agreement,1
Availability of data or data sets,1
Guarantor statement,1
Institution at which the work was performed,1
Financial/nonfinancial disclosures,1
Personal recognition,1
Institutional review board approval,1
Availaibility of data and supporting materials,1
Financial support used for the study,1
Individual participant information,1
Copyright Transfer,1
Financial support and competing interests,1
"Source of support (in the form of grants, equipment or drugs)",1
Consent to study and compliance with ethics,1
Compliances with ethical guidelines,1
Data Source Acknowledgement,1
Funding/support disclosure,1
Source of funding statements,1
Acknowledgementst,1
Availability of Supporting Data and Materials,1
Disclosures and Grants,1
RDI data and study group members,1
Ethics declaration,1
Technical assistance,1
Acknowledgement and Funding,1
DOD Disclaimer,1
Acknowledgments and disclosure of interests,1
Human Subjects Review,1
Disclosure/Conflict of interest,1
13. Acknowledgment,1
8. Acknowledgement,1
7. Acknowledgment,1
Motivation for the publication,1
Summary at a Glance,1
Disclosure and Ethical Approval,1
Authors'Contribution,1
Conflict of Interests and Source of Funding,1
FINANCIAL SUPPORT,1
Complaince with Ethical Standards,1
Funding/Support and Roles of Sponsors,1
Acknowledgements and role of the funding source,1
The Belgian Pulmonary Function study investigators,1
Contributor statement,1
Compliance with Ethics Guidenlines,1
ABBREVIATION,1
ACCESSION NUMBERS,1
"Acknowledgements, and apology.",1
Acknowledgements and outlook,1
Postscript and acknowledgements,1
Summary and Acknowledgments,1
Conflicts interests,1
Conflict of interest summary,1
Disclosure (authors),1
COI,1
Conflict of interest and financial disclosure,1
Funding and conflict of interest information,1
Acknowledgments & Sources of funding,1
Grants/Sources of financial support,1
Disclaimer and Acknowledgment,1
Acknolwedgments,1
Acknowledgmemts,1
WHAT DOES THIS STUDY ADDS?,1
What does this Study Add?,1
What's Already Known about this Topic?,1
What does this study add?,1
What's already known about this topic?,1
What Does this Study Add?,1
What’s Already Known About this Topic?,1
What'S ALREADY KNOWN ABOUT THIS TOPIC?,1
Acknowledgement/funding,1
Ethicsapproval and consent to participate,1
Author Contributuions,1
FMT-standardization Study Group,1
Financial disclosure/Acknowledgements,1
Experimental Section,1
List of principal investigators,1
Reporting,1
Gratitude,1
RELATIONSHIP DISCLOSURE,1
RELATIONSHIP DISCLOSURES,1
ACKNOWLEDGMENTS?,1
A`uthor funding,1
Availability of data and maetrials,1
Disclaimers (WHO/GAC),1
WHO BOLD Research Group,1
Acknowledgments and funding disclosures,1
Acknowledgments/Financial support,1
Acknowledgments and Grant support,1
Supplemental Materials,1
Human/animal rights,1
Embedded math equations,1
Units,1
Drug names and instrument names,1
Finacial support,1
Funding sources and financial disclosures,1
Precís,1
Honors,1
Cancer 2015 investigators,1
EMPRO Group Participants,1
Disclosure/conflicts of interest,1
Declaration on Interests,1
This research was supported by a research project grant awarded by the Azabu University.,1
Individual investigators,1
Disclosures and funding,1
Aknowlegdements,1
Funding and role of the funding source,1
12 Tips for facilitation,1
Acknowledgement statement,1
Research involving human participants and/or animals and informed consent,1
Conflicts of Interest:,1
Acknowledgments and contributions,1
Ackonowledgements,1
Financial disclosure information,1
Not published elsewhere,1
Confirmation,1
• Acknowledgement:,1
Acknowledgmen:,1
Finding,1
Ethical clearance and informed consent,1
Ethics approval and consent procedures,1
Authours' Contribution,1
Issues relating to journal policies,1
Approval of ethical treatment of animals,1
Ethical approval and consent of participation,1
Ethical approval and consents to participants,1
Consent to participate and Consent for publication,1
ACTwatch Group (2008–2017)1,1
Project funding statement,1
Scientific and ethical statement,1
Availability of the data and material,1
Availability of data and matarials,1
Ethical approvals and consent for publication,1
Funding and ethics statement,1
Protein data base (PDB) accession code,1
What Is New in This Paper?,1
Database,1
Consultation Team,1
Funding source and disclaimer,1
Ethics approval and consent to pa\rticipate,1
Acknowledgme nts:,1
Materials and Correspondence,1
The Maela Pneumococcal Collaboration,1
The STOP-HCV Consortium,1
The BEEHIVE Collaboration,1
Note Added in Proof,1
ACKNOWKEDGMENTS,1
The EASE team,1
Materials & Correspondence,1
Organizers,1
Chair of the organization committee,1
Conflicts,1
Short summary,1
Conflict or Interests,1
Ethical aspects,1
Funding declarations,1
Acknowledgmnents,1
Human Animal Rights and Informed Consent,1
Compliance with Ethical Statement,1
Acknowledsgments,1
Conflict of intrest,1
Acknowledgments and Disclaimer,1
Acknowledgements (includes funding sources),1
Acknolwedgements:,1
Declaration and Acknowledgement,1
Author’ note,1
Authors Note,1
State and Large Urban School District Youth Risk Behavior Survey Coordinators,1
Abstraction Team,1
Financial Information,1
ACKNOELEDGEMENTS,1
Attendees at EBCTCG Steering Committee meetings,1
Writing committee: a full list of 620 names of the EBCTCG collaborators has recently been published elsewhere4,1
HiSLAC Collaborative,1
China Kadoorie Biobank collaborative group,1
Million Women Study Co-ordinating Centre staff,1
NHS Breast Screening Centres collaborating in the Million Women Study,1
Million Women Study Steering Committee,1
COIN Trial Investigators,1
The NCIC CTG PR.3/MRC UK PR07 investigators,1
Grant Information/other Acknowledgments,1
Advisory Boards,1
Technical Panels,1
ACKOWEDGEMENTS,1
Diabcare-asia 2001 study group members in Korea,1
Recruitment and follow-up,1
Ethical review committee statement,1
Data Sharing and Declaration,1
PLAGIARISM AND COPYRIGHT VIOLATIONS,1
FIGURES AND TABLES,1
Ethics statement:,1
Ethical considerations:,1
Visit our labs:,1
Off‐label Antimicrobial Use Declaration,1
Grants support,1
Conflict of interest Declaration,1
Grant support:,1
Conflicts of interest statement:,1
Abstracts Supplement Disclaimer,1
Participating practices and doctors,1
Administration and support,1
Coordination Team,1
Manufacturers’ details,1
CDC Community Mitigation Guidelines Teams,1
"ACIP Members, July 1, 2016–June 30, 2017",1
Collaborators for the Latin American ISAAC Phase 3 Study Group,1
Dietary supplements composition,1
Sponsored study,1
Academic connection,1
Availability of date materials,1
Original publication,1
Decalaration,1
Statement of ethical approval,1
Conset of publication,1
Include the name of the ethics committee that approved the study and the committee’s reference number if appropriate,1
Include a statement on ethics approval and consent (even where the need for approval was waived),1
Terms of submission statement from the author(s),1
GBD 2015 Tobacco Collaborators,1
Funding subsidize,1
City work carried out,1
Publication of data and materials,1
Authors Contributions:,1
Authors’ contribution to the manuscript,1
ACKNOWLEDGEMENTS/FINANCIAL DISCLOSURES,1
GBD 2015 Chronic Respiratory Disease Collaborators,1
The COIN trial,1
"The IMSGC contributors—David Booth, Robert Heard, Graeme Stewart (University of Sydney, Institute for Immunology and Allergy Research, Westmead Millennium Institute, Westmead Hospital, Australia), An Goris, Rita Dobosi, Benedicte Dubois (Section for Experimental Neurology, Katholieke Universiteit Leuven, Belgium), Annette Oturai, Helle B Soendergaard, Finn Sellebjerg (MS Research Centre, Department of Neurology, Copenhagen University Hospital, Rigshospitalet, Copenhagen, Denmark), Janna Saarela, Virpi Leppä, Aarno Palotie, Leena Peltonen (Department of Molecular Medicine, National Public Health Institute and Institute of Molecular Medicine Finland, Helsinki, Finland), Bertrand Fontaine, Isabelle Cournu-Rebeix, (INSERM UMR S 546 and Université Pierre et Marie Curie, Paris, France), Francoise Clerget-Darpoux, Marie-Claude Babron (INSERM UMR S 535 and Universite Paris Sud, Villejuif, France), Frank Weber, Florian Holsboer, Bertram Müller-Myhsok (Max Planck Institute of Psychiatry, Munich, Germany), Peter Rieckmann, Antje Kroner (Department of Neurology, University of Würzburg, Germany), Colin Graham, Koen Vandenbroeck, Stanley Hawkins (Queens University, Belfast, Northern Ireland), Sandra D'Alfonso, Laura Bergamaschi (Department of Medical Sciences and Interdisciplinary Research Center of Autoimmune Diseases, University of Eastern Piedmont, Novara, Italy), Paola Naldi (Department of Neurology, Ospedale Maggiore, Novara, Italy), Franca R Guerini (Laboratory of Molecular Medicine and Biotechnology, Don C Gnocchi Foundation IRCCS, S Maria Nascente, Milan, Italy), Marco Salvetti (Neurology and Centre for Experimental Neurological Therapy, Universitè La Sapienza, Roma, Italy), Daniela Galimberti (Department of Neurological Sciences, Ospedale Maggiore Policlinico, University of Milan, Italy), Rogier Hintzen, Cornelia van Duijn (Department of Neurology and Epidemiology, Erasmus MC, Rotterdam, Netherlands), Åslaug R Lorentzen, Elisabeth G Celius, Hanne F Harbo (Department of Neurology, Ullevål University Hospital and University of Oslo, Norway), Anne Spurkland (Institute of Basal Medical Sciences, University of Oslo, Norway), Francesco Cucca (Dipartimento di Scienze Biomediche, Università di Sassari, Sardinia), Maria Giovanna Marrosu (Dipartimento di Scienze Cardiovascolari e Neurologiche, University of Cagliari, Centro Sclerosi Multipla, Ospedale Binaghi, Sardinia), Manuel Comabella, Xavier Montalban (Unitat de Neuroimmunologia Clínica, CEM-Cat, Hospital Universitari Vall d'Hebron, Barcelona, Spain), Pablo Villoslada (Department of Neurology, University of Navarra, Pamplone, Spain), Tomas Olsson, Ingrid Kockum, Jan Hillert (Department of Clinical Neurosciences, Centre for Molecular Medicine, Karolinska Hospital, Stockholm, Sweden), Maria Ban, Amie Walton, Stephen Sawcer, Alastair Compston (University of Cambridge, Department of Clinical Neuroscience, Addenbrooke's, Hospital, Hills Road, Cambridge, UK), Clive Hawkins, Tania Mihalova (Department of Neurology, Keele University Medical School, Hartshill Campus, Stoke on Trent, UK), Neil Robertson, Gillian Ingram (Department of Neurology, University Hospital of Wales, Heath Park, Cardiff, UK), Philip L De Jager, David A Hafler (Division of Molecular Immunology, Center for Neurologic Diseases, Brigham and Women's Hospital, Boston, MA, USA), John Rioux, Mark Daly (Broad Institute of Harvard University and Massachusetts Institute of Technology, Cambridge, MA, USA), Lisa Barcellos (University of California at Berkeley, Berkeley, CA, USA), Adrian Ivinson (Harvard Center for Neurodegeneration and Repair, Harvard Medical School, Boston, MA, USA), Margaret Pericak-Vance (University of Miami School of Medicine, Miami, FL, USA), Jorge Oksenberg, Stephen L Hauser (University of California at San Francisco, San Francisco, CA, USA), Jacob McCauley, David Sexton, Jonathan Haines (Center for Human Genetics Research, Vanderbilt University Medical Center, Nashville, TN, USA)",1
GBD 2015 LRI Collaborators,1
IGRA= interferon-γ release assays.,1
"This study was funded by the Wellcome Trust Programme Grant (WT091909/B/10/Z) to NAC, RSH, and NF; an investigator initiated grant by GlaxoSmithKline Biologicals (eTrack number, 201489) to NAC, NBZ, and NF; a Wellcome Trust Strategic Award to AC (number, 085417ma/Z/08/Z); and Malawi-Liverpool-Wellcome Trust Clinical Research Programme core grant strategic award to RSH. We thank the Traditional Authorities and communities of the Mchinji district, and the community of Chilumba in the Karonga district, and all participating families, especially families of deceased infants who so graciously shared their stories with us. We are grateful for the tireless diligence of our village informants, enumerators, and our field and data staff. We thank VacSurv Consortium members Osamu Nakagomi (University of Nagasaki); and Jennifer R Verani and Cynthia G Whitney (Centers for Disease Control and Prevention). The findings and conclusions in this report are those of the authors and do not necessarily represent the official position of the US Centers for Disease Control and Prevention.",1
Advisory Board,1
Financial supports,1
Ethics approval and consent for publications,1
Editorial responsiblity,1
Full financial disclosures for the previous 12 months,1
BCNU drug level measurement institution,1
The central pathological evaluation committee,1
The efficacy and safety evaluation committee,1
Clinical investigators,1
Author agreement/declaration,1
Financial disclosure/conflict of interest,1
Human rights ethical approval,1
Conflict of interest/disclosure statement,1
Source of funding and conflicts of interest,1
Full financial disclosure,1
A competing interest statement,1
Disclosures/conflict of interest,1
Supplementary Table 1,1
Disclosures concerning the present manuscript,1
Compliance with Ethics Guidleines,1
Conflicts of interest/financial disclosures,1
A. Supplementary data,1
Supplementary Fig. 1,1
Acknowledgments & funding source,1
Authors and contributions,1
Statement of provisional patent,1
The CombiRx Investigators Group,1
MRI Analysis Center,1
Acknowledgement and disclosure statement,1
Complete list of co-authors/investigators of the CHECK-HF study,1
Conflict Of Interest,1
Funding/conflicts of interest,1
Statement of competing interests,1
Compliance with ethics statement,1
Writing Assistance,1
Funding / Role of the Funding Source,1
Names for PubMed indexing,1
Conflits d’intérêts potentiels,1
Potential conflicts,1
Statement of competing interests (relating to this article),1
Conflicts of interest or other associations,1
Permissions and acknowledgements,1
Source Of Funding:,1
Acknowledgment and conflict of interest,1
SOME ACKNOWLEDGMENTS (BUT NEVER ENOUGH),1
Subjects’ Contributions,1
Conflict of interest: none,1
Availability of data and materisals,1
Consent for publictaion,1
The clinical trial was conducted in three centers,1
Other contributors/acknowledgements,1
Statement concerning each author’s contribution,1
Guarantors,1
Statement of assistance,1
Publisher's note,1
WHAT THIS PAPER CONTRIBUTES,1
WHAT IS KNOWN ABOUT THE SUBJECT,1
ACKNOWLEDEGEMENT,1
ACKNOWLEDGEMENTS.,1
Funding acknowledgement,1
Conflicts interest,1
Ethical Standards and patient consent,1
Ethical Standards and Patient Consent,1
Funding & Acknowledgement,1
Funding statement and acknowledgment,1
FUNDING STATEMENT,1
The Role of the Study Sponsor,1
Consent to participate for publication,1
AKNOWLEGMENTS,1
Author contrubutions,1
ACKNOWELEDGEMENTS,1
Availability of Data And Materials,1
Authors′ Contributions,1
Completing Interests,1
7. Acknowledgement,1
McRae_Supp._Info_2.pdf,1
Funding and external contributions,1
The Parkinson's Foundation P4 Group,1
The RCIGM investigators,1
I-SPY 2 investigators,1
Additional notes,1
Other members of the Buccalin trial group,1
Authors ’ contributions,1
Avon Longitudinal Study of Parents and Children (ALSPAC),1
Animal care,1
Acknowledgments and Study Information,1
Acknowledgemtns,1
Acknowldegements,1
Availability of supporting data:,1
US Government Disclaimer,1
Author Contribution Summary,1
Authorship contributions statement,1
Welfare of Animals,1
Acknowledgments of Funding,1
Name of author who serves as guarantor,1
Authors' information (optional),1
Acknowledgment and Disclosures,1
Funding/Acknowledgments,1
Northern Finnish Birth Cohort Studies 1966 and 1986,1
Supplementary Table S4,1
SCOOP-UK (Severe Childhood Onset Obesity Project United Kingdom),1
Supplementary Table S3,1
Supplementary Table S2,1
Supplementary Table S1,1
Acknowledgement/conflict of interest,1
Acknowledgements and Consortia,1
